acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
66965,ONF | NFB,Q22639250,RON FABER,EYE WITNESS. NO. 93,THE TREE OF GUERNICA,32
66965,ONF | NFB,Q22639250,RON FABER,A UNION FREE SEMINAR,THE TREE OF GUERNICA,30
66965,ONF | NFB,Q22639250,RON FABER,PORTER'S MAGIC DREAMS,THE TREE OF GUERNICA,39
66965,ONF | NFB,Q22639250,RON FABER,PROFILE: CANADA,THE TREE OF GUERNICA,35
66965,ONF | NFB,Q22639250,RON FABER,THE SEXTON,THE TREE OF GUERNICA,40
66965,ONF | NFB,Q22639250,RON FABER,GLENN GOULD OFF THE RECORD,THE TREE OF GUERNICA,48
66965,ONF | NFB,Q22639250,RON FABER,THE SHATTERED SILENCE,THE TREE OF GUERNICA,39
66965,ONF | NFB,Q22639250,RON FABER,CANADA IN WORLD WAR ONE,THE TREE OF GUERNICA,33
66965,ONF | NFB,Q22639250,RON FABER,BENOIT,THE TREE OF GUERNICA,31
66965,ONF | NFB,Q22639250,RON FABER,FLOWERS ON A ONE WAY STREET,THE TREE OF GUERNICA,47
66965,ONF | NFB,Q22639250,RON FABER,FAMILY DOWN THE FRASER,THE TREE OF GUERNICA,38
66965,ONF | NFB,Q22639250,RON FABER,"HEY, KELLY!",THE TREE OF GUERNICA,28
66965,ONF | NFB,Q22639250,RON FABER,JACK RABBIT,THE TREE OF GUERNICA,19
66965,ONF | NFB,Q22639250,RON FABER,A PHANTASY,THE TREE OF GUERNICA,27
66965,ONF | NFB,Q22639250,RON FABER,DECIDING TO ORGANIZE,THE TREE OF GUERNICA,35
66965,ONF | NFB,Q22639250,RON FABER,THE AVIATORS OF HUDSON STRAIT,THE TREE OF GUERNICA,41
66965,ONF | NFB,Q22639250,RON FABER,THE STORY OF OKRA JOHN,THE TREE OF GUERNICA,43
66965,ONF | NFB,Q22639250,RON FABER,YOU'RE UNDER ARREST!: OR A CITIZEN'S RIGHTS AND THE POLICE,THE TREE OF GUERNICA,29
66965,ONF | NFB,Q22639250,RON FABER,MR FROG WENT A-COURTING,THE TREE OF GUERNICA,37
66965,ONF | NFB,Q22639250,RON FABER,THE MOTORMAN,THE TREE OF GUERNICA,38
66965,ONF | NFB,Q22639250,RON FABER,INTERVIEW,THE TREE OF GUERNICA,34
66965,ONF | NFB,Q22639250,RON FABER,UP AGAINST THE SYSTEM,THE TREE OF GUERNICA,39
66965,ONF | NFB,Q22639250,RON FABER,FIGHTING FOREST FIRES WITH HAND TOOLS,THE TREE OF GUERNICA,32
66965,ONF | NFB,Q22639250,RON FABER,LESSONS IN LIVING,THE TREE OF GUERNICA,22
66965,ONF | NFB,Q22639250,RON FABER,THE MODERN PROSPECTOR,THE TREE OF GUERNICA,44
66965,ONF | NFB,Q22639250,RON FABER,THE INVENTION OF THE ADOLESCENT,THE TREE OF GUERNICA,51
