acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
81824,ERIC MERTON,Q475405,ERNIE MORRISON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],PRIDE OF THE BOWERY,32
81824,ERIC MERTON,Q62059588,ERIC MAYNE,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],HEARTS AND SPANGLES,28
81824,ERIC MERTON,Q5497108,FREDERIC NORTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],CHU-CHIN-CHOW,18
81824,ERIC MERTON,Q5386678,ERIC HARRISON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],RIDING TO WIN,23
81824,ERIC MERTON,Q97260,FRIEDRICH ULMER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],DER ALTE UND DER JUNGE KONIG,37
81824,ERIC MERTON,Q2393651,ROBERT HERRICK,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],DANGEROUS MONEY,25
81824,ERIC MERTON,Q5777382,ERIC GUSTAFSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],HER LITTLE MAJESTY,22
81824,ERIC MERTON,Q3103234,GEORGES MORTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],KING OF THE HOTEL,29
81824,ERIC MERTON,Q59624554,ERICH GRIMMLER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],LOVE AND TRUMPETS,24
81824,ERIC MERTON,Q3322512,MONTE BRICE,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],NOW WE'RE IN THE AIR,34
81824,ERIC MERTON,Q1355622,TONY LAZZERI,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],"SLIDE, KELLY, SLIDE",20
81824,ERIC MERTON,Q36792383,ENRIC PONSA,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],LO MAS SUBLIME,14
81824,ERIC MERTON,Q459551,SETON I. MILLER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE ADVENTURES OF ROBIN HOOD,37
81824,ERIC MERTON,Q167399,MILTON AGER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THEY LEARNED ABOUT WOMEN,33
81824,ERIC MERTON,Q1176368,ERNO METZNER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],RIVALS FOR THE WORLD RECORD,30
81824,ERIC MERTON,Q1300570,ERICH KESTIN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],A STUDENT'S SONG OF HEIDELBERG,38
