agent_id,agent_label,work_id,work_label
12797,Donald Crombie,87191,"Through my eyes (TEFC): Kilkenny Primary School, South Australia"
13379,Frank Hurley,79627,Antarctic Pioneers
12217,Ivan Gaal,65156,Autism: who cares
19395,Barry Pierce,98708,Sister Forsythe's casebook
6601,John Power,84069,Sky trackers
74451,Anthony Buckley,84069,Sky trackers
84297,Tibor Koller,117801,[Tibor Zoltan Koller Home Movies: Reel 1]
11116,Chris Noonan,75350,Anokhi
13073,John Edwards,68974,Inspecting the car
8321,Deborah Hoare,108526,Bonza
20017,Matt Carroll,93737,Diana and me
7252,Trevor Graham,92534,Mabo: the native title revolution
21996,Derek Bailey,81335,La Stupenda: a portrait of Dame Joan Sutherland
84432,ABC,95918,Parabola
8745,Nigel Buesst,86023,Bonjour Balwyn
85169,GMV-6 Shepparton,119298,"[Proclamation of Benalla, 1965]"
7072,Richard Frankland,85042,From sand to celluloid
78765,Deb Cox,114409,Miss Fisher's Murder Mysteries (Series 03) [promotional trailer]
14079,Noel Monkman,86391,Ocean oddities
84432,ABC,75274,The Vale of Kashmir
11119,Phil Noyce,68098,"God knows why, but it works"
72730,Craig Walsh,110363,Swarm
73758,Michael Yuen,110363,Swarm
74786,Nancy Hamilton,95702,The Bristol school
7252,Trevor Graham,82993,"From little things big things grow: Kev Carmody, singer"
19109,Igor Auzins,81021,High rolling = High rolling in a hot corvette
19620,Solrun Hoaas,78813,Pre-occupied
84432,ABC,66586,Dancing orpheus
13884,John Sexton,66293,Community health: the Australian concept
12170,Suzanne Baker,66293,Community health: the Australian concept
12064,Gil Brealey,75094,A Man's life is his own affair
9735,Ray Lawrence,95549,Jindabyne
84432,ABC,74414,Vivisection and the alternatives
12897,Frank L. Few,70030,Making a stone axe
84432,ABC,70030,Making a stone axe
12170,Suzanne Baker,75198,The Care behind the smile
18809,Ron Taylor,98405,Introduction to horizontal jumping: long jump - triple jump
6601,John Power,74617,What did you do at school today
21203,Ben Lewin,115243,The Migrant experience
15100,Brian Kavanagh,80727,The Chant of Jimmie Blacksmith
23440,Norman McLeod,96265,Mining: a career for you
11966,David Corke,92205,A Skeleton in the crop: the story of skeleton weed (chondrilla juncea) in Australia
12897,Frank L. Few,80877,Walkabout
84432,ABC,80877,Walkabout
20692,Paul Cox,78649,Death and destiny: a Journey into Ancient Egypt
86082,John Brookes,119733,[Brookes Family Home Movies: Reel 2]
84299,Dorothy Nixon,119165,[Nixon Family Home Movies: Reel 5]
84298,Les Nixon,119165,[Nixon Family Home Movies: Reel 5]
13900,Bruce Beresford,68681,The Hunter (D)
14794,Stuart Glover,71608,A Place to live [Turkish version]
22480,Bill Bennett,80771,Mortgage
31350,Mark Waters,94061,The Morris Gleitzman video
74451,Anthony Buckley,75159,A Steam train passes
84432,ABC,75815,The Seal watch with Bob Warneke
12789,Rhonda Small,69009,Into your hand
12044,Stanley Hawes,69009,Into your hand
17328,Paul Hogan,92718,Crocodile Dundee in Los Angeles
79945,Lance Hool,92718,Crocodile Dundee in Los Angeles
7252,Trevor Graham,94021,"Small island, big fight"
8679,Rosemary Hesp,94021,"Small island, big fight"
84293,Charles Hayes,119160,[Charles Hayes Home Movie Collection]
19049,Bob Connolly,97667,Franklin River journey
19197,Bob Weis,115002,Survey (National Gallery of Victoria)
22147,David Greig,96900,The Place Across the River
12217,Ivan Gaal,84434,Professional Development
12217,Ivan Gaal,96698,Basic film language
12798,Oliver Howes,71422,Pearls in the North
31350,Mark Waters,115532,Insight profile
13884,John Sexton,79920,Phar Lap
74658,Yoram Gross,79904,Dot and the Bunny
26894,Clayton Jacobson,85007,Five easy pizzas
84297,Tibor Koller,117814,[Tibor Zoltan Koller Home Movies: Reel 14]
23203,Christopher Fraser,80983,Summer City
23202,Phil Avalon,80983,Summer City
19197,Bob Weis,75637,Robert Rooney
12789,Rhonda Small,65839,The Case for books
12170,Suzanne Baker,72631,Seeing red and feeling blue
13073,John Edwards,68815,In dense traffic
20437,Dennis O'Rourke,79271,Cannibal Tours
20431,Chris Owen,79271,Cannibal Tours
13073,John Edwards,73190,"Steering, gear changing and braking"
82089,Kenneth Rankine,114427,[KenRa Films Present: the Kenneth Rankine Home Movie Collection: Reel 12]
74658,Yoram Gross,80065,Dot goes to Hollywood
84432,ABC,75234,"Man the killer, man the keeper (D)"
12170,Suzanne Baker,68709,I can hear but I can't understand
79339,Nick Giannopoulos,90432,The Wog boy
86406,Mandy Walker,93600,Lantana (Special edition) [DVD]
9735,Ray Lawrence,93600,Lantana (Special edition) [DVD]
7927,Jan Sharp,66178,Clem and Faye
81754,Hazel Edwards,99130,Snail mail
22246,Franklyn Barrett,79852,The Enemy within
12797,Donald Crombie,75210,Do I have to kill my child?
84297,Tibor Koller,117803,[Tibor Zoltan Koller Home Movies: Reel 3]
19836,Alex Proyas,83099,"Spirits of the air, gremlins of the clouds"
84432,ABC,68713,I dream of peace and rest: Norman Lindsay
84297,Tibor Koller,117812,[Tibor Zoltan Koller Home Movies: Reel 12]
10977,Ray Argall,66251,Coma
12064,Gil Brealey,79641,Annie's coming out
10977,Ray Argall,110105,Gary's story
10241,Rolf De Heer,110105,Gary's story
84297,Tibor Koller,117809,[Tibor Zoltan Koller Home Movies: Reel 9]
19979,Mario Andreacchio,83641,The Dreaming
20079,Craig Lahiff,83641,The Dreaming
75968,Robin Anderson,82713,Black harvest
19049,Bob Connolly,82713,Black harvest
8330,Shirley Barrett,108531,Cherith
13461,Roger Sandall,65735,Camels and the Pitjantjara
84299,Dorothy Nixon,117827,[Nixon Family Home Movies: Reel 10]
84298,Les Nixon,117827,[Nixon Family Home Movies: Reel 10]
79394,Tom Rosenberg,92327,The Gift [DVD]
78278,James Jacks,92327,The Gift [DVD]
84432,ABC,67024,Edge of the outback
12209,Cecil Holmes,69931,Lotu
8642,Ana Kokkinos,85034,Only the Brave
11966,David Corke,74601,The Wetlands problem
12798,Oliver Howes,115281,The Human face of Indonesia
12798,Oliver Howes,82604,Indonesia: pressure of population
19395,Barry Pierce,76431,Chart before the course
84432,ABC,70623,Peach's Australia : Mount Buffalo
84432,ABC,75574,West Germany: democracy at risk?
23282,Terry Bourke,81032,Lady stay dead
12044,Stanley Hawes,67448,Festival in Adelaide
12170,Suzanne Baker,85250,Appearances can deceive: offenders with intellectual disabilities
12797,Donald Crombie,71496,Personnel or people?
12064,Gil Brealey,71496,Personnel or people?
7927,Jan Sharp,73213,Stop talking and do something
14931,Martha Ansara,122455,I Remember 1948
14079,Noel Monkman,67433,Feathered fishers
19863,Anne Deveson,96649,They smell different
12170,Suzanne Baker,96649,They smell different
82089,Kenneth Rankine,114425,[KenRa Films Present: the Kenneth Rankine Home Movie Collection: Reel 10]
10227,George Whaley,81814,Poor man's orange (Captioned)
74451,Anthony Buckley,81814,Poor man's orange (Captioned)
84299,Dorothy Nixon,119167,[Nixon Family Home Movies: Reel 9]
84298,Les Nixon,119167,[Nixon Family Home Movies: Reel 9]
19787,Stephen Wallace,76551,Captives of care
12797,Donald Crombie,95631,Robbery under arms [DVD]
15007,Ken Hannam,95631,Robbery under arms [DVD]
74451,Anthony Buckley,80441,The Cutting edge
43384,Jack Anderson,99991,[John Anderson Home Movies: Reel 31]
20017,Matt Carroll,94345,Passion (1999)
27942,Peter Duncan,94345,Passion (1999)
22147,David Greig,120322,Wildcats and Pipedreams
12798,Oliver Howes,73694,The Things we want to keep
14931,Martha Ansara,77473,Changing the needle
12839,Janet Heyer,65191,The Back of Beyond
12840,Roland Robinson,65191,The Back of Beyond
12170,Suzanne Baker,75696,Jose: deserted father (TEFC)
84710,Celeste Barber,118139,If at first you don’t succeed
12984,Ken Cameron,65982,Chase that dream
74451,Anthony Buckley,69440,The Koala
13379,Frank Hurley,79858,Home of the blizzard (1913)
29793,James Bogle,87761,In the winter dark
78193,Rod Kinnear,88517,Herman's Hermits Hilton show
12217,Ivan Gaal,96420,Round and around
12521,Lee Robinson,69294,Journey to Antarctica
17043,E.J. Carroll,79863,The Man from kangaroo (1920)
12677,Arch Nicholson,74606,What about I.F.C?
7252,Trevor Graham,80685,Keen as mustard
84432,ABC,97426,Murray River salination
11966,David Corke,77044,Cullens Lake
23220,Richard Franklin,85235,Hotel Sorrento
84432,ABC,78303,The Mateship commune
7252,Trevor Graham,80690,Land Bilong Islanders
23220,Richard Franklin,95102,The True story of Eskimo Nell
8313,Kim Farrant,110288,Sammy Blue
22665,Mark Joffe,86027,Spotswood
6514,David Caesar,93282,Mullet [DVD]
7927,Jan Sharp,97989,Saturday night again
12064,Gil Brealey,65099,Australian [colour] diary. No. 039
8316,Patrick Ryan,71110,On three moon creek: Australian paintings by Gil Jamieson
19197,Bob Weis,80993,Wills and Burke: The Untold Story
76257,Robert Stevenson,78340,The Business of Welfare
84432,ABC,74363,News digest [No. 14]
11119,Phil Noyce,75326,Brad
17648,James Ricketson,77388,With minimal help
12170,Suzanne Baker,77388,With minimal help
77777,Domenico Procacci,90466,The Quiet room
10241,Rolf De Heer,90466,The Quiet room
